question,answer,dataset
What's the highest amount of protein (in grams) found in a food item?,0.2748,056_Emoji
What food has the highest calorie content?,bacon,056_Emoji
Which food contains the most sugar?,honey,056_Emoji
What is the food with the least amount of total fat?,honey,056_Emoji
Which food has the highest amount of protein?,beef,056_Emoji
List the top 5 foods with the most calories.,"['bacon', 'peanuts', 'chocolate bar', 'popcorn', 'cookie']",056_Emoji
Identify the top 3 foods with the least amount of sugar.,"['chestnut', 'pancakes', 'cheese']",056_Emoji
Enumerate the 4 foods with the most total fat.,"['bacon', 'peanuts', 'cheese', 'popcorn']",056_Emoji
Name the 6 foods with the least amount of protein.,"['candy', 'black tea', 'bacon', 'champagne', 'red wine', 'red apple']",056_Emoji
List the 5 highest calorie counts found in the dataset.,"[8.98, 5.67, 5.18, 5.0, 4.97]",056_Emoji
What are the 3 lowest amounts of sugar found among the foods?,"[0.0, 0.0, 0.0]",056_Emoji
Enumerate the 4 highest amounts of total fat found in the foods.,"[0.995, 0.4924, 0.3099, 0.281]",056_Emoji
What are the top 6 lowest amounts of protein found in the dataset?,"[0.0, 0.0, 0.0007, 0.0007, 0.0007, 0.002]",056_Emoji
Are there any respondents who say they didn't complete primary education?,True,057_Spain
Are all respondents interested in politics?,False,057_Spain
Did any respondent indicate that they will not vote?,True,057_Spain
Did any respondent place themselves at the extreme right of the Left-Right economic values axis?,True,057_Spain
How many respondents placed themselves at 10 on the Progressive-Conservative economic values axis?,372,057_Spain
What is the average age of the respondents?,37.420120593188116,057_Spain
How many respondents think it should be more difficult for companies to lay off workers?,10344,057_Spain
What's the maximum age among the respondents who prefer not to disclose their gender?,105.0,057_Spain
Which is the most common vote intention among respondents?,[Ciudadanos],057_Spain
What is the most common reason for voting given by respondents?,The party ideas are close to my own,057_Spain
Which is the most common party identification among respondents?,Ciudadanos,057_Spain
What is the most common first language among respondents?,Castellano,057_Spain
List the top 5 most common vote intentions among respondents.,"['[Ciudadanos]', '[]', '[I am undeceided]', '[Podemos]', '[PP]']",057_Spain
Identify the top 3 most common reasons for voting among respondents.,"['The party ideas are close to my own', 'The party is the most competent', 'I prefer not to say']",057_Spain
Enumerate the top 3 most common party identifications among respondents.,"['Ciudadanos', 'PP', 'I prefer not to say']",057_Spain
Name the top 3 most common education levels.,"['University degree', 'Postgraduate degree', 'Technical/Vocational education']",057_Spain
List the top 3 most common ages among respondents.,"[38.0, 23.0, 39.0]",057_Spain
What are the top 3 most common positions on the Left-Right economic values axis?,"[5.0, 3.0, 6.0]",057_Spain
Enumerate the top 4 most common positions on the Progressive-Conservative economic values axis.,"[5.0, 3.0, 4.0, 0.0]",057_Spain
What are the top 2 most common positions on the 'Constitutional organisation of the country (More Descentralization)' scale?,"[2.0, 3.0]",057_Spain
Are there survey participants who are not registered to vote?,True,058_US
Are there any respondents who participated in the 2016 Presidential election (four years ago) but are not planning to do so in the upcoming election?,True,058_US
Do we have any respondents in the dataset who didn't participate in the 2016 Presidential election (four years ago) but intend to do so in the upcoming election?,True,058_US
Do we have respondents who have shifted their voting preference from the 2016 election (four years ago) to the upcoming one?,True,058_US
How many respondents in the survey are eligible to vote?,1315,058_US
What is the count of respondents who are most likely to vote for Biden in the upcoming day of the election?,799,058_US
How many respondents have a high school degree or less as their highest level of education?,0,058_US
How many respondents are from the region adjacent to the South Atlantic Ocean?,774,058_US
What is the most frequent age group among the respondents?,65+,058_US
Who is the preferred choice among the respondents for the upcoming election?,Donald Trump (Republican),058_US
What is the most commonly achieved educational level among the respondents?,"Some college, no degree",058_US
Which geographical division has the greatest representation among the respondents? If there is a tie solve it by reverse alphabetical order. ,South Atlantic,058_US
Identify the top 6 states with the greatest number of respondents.,"['CA', 'TX', 'NY', 'FL', 'GA', 'PA']",058_US
Enumerate the 2 most common professions among the respondents. If two or more have the same number sort them out by alphabetical order.,"['Other', 'Healthcare']",058_US
Identify the top 2 ethnic groups with the most representation among the respondents.,"['White (not Hispanic, Latino or Spanish origin)', 'Black or African American (not Hispanic, Latino or Spanish origin)']",058_US
Enumerate the top 6 most represented age groups among the respondents.,"['65+', '55-64', '45-54', '35-44', '18-24', '25-34']",058_US
Identify the highest 3 unique county codes present in the dataset.,"[56031, 56025, 56021]",058_US
Enumerate the highest 4 unique weight values in the dataset.,"[12.25830409560021, 11.12470053778552, 10.76484201273817, 9.469101617885023]",058_US
List the top 4 urban/rural categories (using NCHS codes) with the greatest number of respondents.,"[1, 2, 3, 4]",058_US
Enumerate the 2 most common likelihood values among the respondents.,"[10.0, 11.0]",058_US
Is there a car model named 'Golf' listed?,True,059_Second
Are there cars associated with the dealer 'Autos Raymara'?,True,059_Second
Is there a car version that mentions 'BMW'?,True,059_Second
Are there cars with a 'Manual' shift?,True,059_Second
How many unique car models are listed?,940,059_Second
"On average, how many photos are provided for the cars?",16.19912,059_Second
What's the highest price a car is listed for?,549900,059_Second
How many cars are from the year 2020?,4237,059_Second
Which dealer has the car with the highest price listed?,Supergarage,059_Second
Which car maker is the most common? If there is a tie then use alphabetical order.,VOLKSWAGEN,059_Second
What type of fuel is the most common for the cars?,Diésel,059_Second
In which province are the most cars located?, Madrid,059_Second
Which are the 3 provinces with the most car listings? If there is a tie then use reverse alphabetical order.,"['Madrid', 'Barcelona', 'Valencia']",059_Second
List the 3 most common car colors in the dataset.,"['Blanco', 'Gris / Plata', 'Negro']",059_Second
Which 5 car makes are the most prevalent?,"['VOLKSWAGEN', 'BMW', 'MERCEDES-BENZ', 'AUDI', 'PEUGEOT']",059_Second
List the 2 least common fuels used in the cars.,"['Gas natural (CNG)', 'Gas licuado (GLP)']",059_Second
What are the 4 most common years of the cars?,"[2016.0, 2017.0, 2019.0, 2020.0]",059_Second
List the 3 highest mileages present.,"[5000000, 4000006, 3500000]",059_Second
What are the 5 highest amount of pictures associated?,"[54, 54, 54, 54, 54]",059_Second
List the 6 highest power values.,"[800.0, 800.0, 796.0, 772.0, 720.0, 720.0]",059_Second
Are all transactions IDs unique?,False,060_Bakery
Is there any transaction that took place during the night?,True,060_Bakery
Do all items have transactions recorded on weekdays?,False,060_Bakery
Are there any transactions recorded in the evening on weekends?,True,060_Bakery
How many unique items are there in the dataset?,94,060_Bakery
On how many different days were transactions recorded?,159,060_Bakery
What's the highest transaction number?,9684,060_Bakery
How many different IDs are there in the transactions that were made during the afternoon?,2478,060_Bakery
Which day period has the highest number of unique transaction IDs?,morning,060_Bakery
"On weekdays, what's the most commonly bought item?",Coffee,060_Bakery
What's the least popular item bought during weekdays?,Adjustment,060_Bakery
"During which period of the day is Brownie"" most frequently bought?""", afternoon,060_Bakery
List the top 3 items most frequently bought in the morning.,"['Coffee', 'Bread', 'Pastry']",060_Bakery
Name the top 2 most purchased during the afternoon.,"['Coffee', 'Bread']",060_Bakery
Identify the top 2 items sold on weekends. If a tie then sort alphabetical.,"['Coffee', 'Bread']",060_Bakery
What are the 4 items that were bought two times in the evening?,"['Art Tray', 'Mighty Protein', 'Mortimer', 'Vegan mincepie']",060_Bakery
Which are the 4 transaction numbers with the most items bought?,"[6474, 6716, 6279, 6412]",060_Bakery
Identify the highest 5 transaction numbers.,"[9680, 9681, 9682, 9683, 9684]",060_Bakery
List the highest 4 transaction numbers during which 'Bread' was purchased.,"[9680, 9679, 9673, 9671]",060_Bakery
Name the lowest 2 transaction numbers where purchases were made in the morning.,"[1, 2]",060_Bakery
Are all the reviews from Australia positive (rating > 3)?,False,061_Disneyland
Is Disneyland_HongKong the most reviewed branch?,False,061_Disneyland
Are there any reviews with a rating of 1?,True,061_Disneyland
Does every reviewer location have at least one review with a rating of 5?,False,061_Disneyland
How many unique reviewer locations are there?,162,061_Disneyland
What is the average rating for Disneyland_HongKong?,4.204158004158004,061_Disneyland
What is the maximum review ID? If there is a tie then pick the highest ID.,670801367,061_Disneyland
How many reviews were made in 2019?,786,061_Disneyland
What is the most common reviewer location?,United States,061_Disneyland
What is the branch with the lowest average rating?,Disneyland_Paris,061_Disneyland
In which date was the first most negative review (rating=1) made?,2010-12,061_Disneyland
What is the reviewer location with the highest average rating? If there is a tie then pick the first one alphabetically,Armenia,061_Disneyland
What are the top 3 reviewer locations with the most reviews?,"['United States', 'United Kingdom', 'Australia']",061_Disneyland
What are the bottom 2 branches in terms of average rating?,"['Disneyland_Paris', 'Disneyland_HongKong']",061_Disneyland
What are the 4 dates with the most reviews? Include those missing.,"['missing', '2015-8', '2015-7', '2015-12']",061_Disneyland
What are the bottom 3 reviewer locations in terms of average rating?,"['Turks and Caicos Islands', 'South Sudan', 'Suriname']",061_Disneyland
What are the highest 5 review IDs in terms of rating? If you find a tie then keep the highest IDs.,"[670801367, 670760708, 670721950, 670606796, 670585330]",061_Disneyland
What are the lowest 4 review IDs in terms of rating? If there are more than four with the same rating keep the lowest IDs,"[1534364, 2718239, 2831747, 2945119]",061_Disneyland
What are the top 3 (not necessarily unique) ratings given by reviewers from Australia?,"[5, 5, 5]",061_Disneyland
What are the lowest 2 ratings given for Disneyland_HongKong?,"[1, 1]",061_Disneyland
Are all the tweets in English?,False,062_Trump
Has the author ever been retweeted?,True,062_Trump
Are there any tweets with more than 10000 retweets?,True,062_Trump
Have any of the tweets been favorited more than 50000 times?,True,062_Trump
How many unique authors are there?,1,062_Trump
What is the average number of retweets?,8774.52044683822,062_Trump
What is the maximum number of favorites received for a single tweet?,589793,062_Trump
How many tweets were posted in 2018?,2891,062_Trump
What is the most common author name?,Donald J. Trump,062_Trump
What is the tweet with the most favorites?,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before,062_Trump
In which language is the tweet with the most retweets written?,und,062_Trump
What is the most common language of the tweets?,en,062_Trump
What are the top 3 author handlers with the most tweets?,['realDonaldTrump'],062_Trump
What are the bottom 2 languages in terms of tweet count? If there are more than two give priority to those starting with the letter p,"['pl', 'pt']",062_Trump
What are the top 4 mentioned names in the tweets?,"['realDonaldTrump', 'FoxNews', 'CNN', 'foxandfriends']",062_Trump
What are the bottom 3 author names in terms of tweet count?,['Donald J. Trump'],062_Trump
What are the top 5 tweet IDs in terms of retweet count?,"[881503147168071680, 795954831718498305, 929511061954297857, 796315640307060738, 948355557022420992]",062_Trump
What are the bottom 4 tweet IDs in terms of favorite count?,"[591222909626114050, 591412084895838208, 586751374286721024, 575589231160127489]",062_Trump
What are the top 6 favorite counts of the tweets?,"[589793, 589750, 557779, 539249, 476457, 376626]",062_Trump
What are the bottom 3 retweet counts of the tweets?,"[1, 1, 2]",062_Trump
Are there any organizations in the dataset?,False,063_Influencers
Are there any individuals (non-organizations) in the dataset?,True,063_Influencers
Do all entities have a picture?,True,063_Influencers
Are there any entities with a weight greater than 500?,True,063_Influencers
How many unique communities are there?,9,063_Influencers
What is the average page rank norm?,0.08848033260794509,063_Influencers
What is the maximum weight of an entity?,770.5,063_Influencers
How many entities have a community identifier of 16744206?,651,063_Influencers
What is the most common name?,Christophe Viau,063_Influencers
Which entity has the highest page rank norm?,Mike Bostock,063_Influencers
What is the picture URL of the entity with the maximum weight?,https://storage.googleapis.com/pics.contexto.io/photos/paperclips/000/016/457/thumb/Saw-whet_Owl_10_normal.jpg?1517502050,063_Influencers
Which entity has the highest y-coordinate?,The Gibson Project,063_Influencers
What are the top 3 entity names with the highest weights?,"['Lynn Cherny', 'Alberto Cairo', 'Sinan Aral']",063_Influencers
What are the bottom 2 entities in terms of page rank norm?,"['LIFE', 'New Options Project']",063_Influencers
What are the top 4 entities with the highest x-coordinates?,"['Detective.io', 'The Thrust', 'Open Budgets', 'NewsFuturist']",063_Influencers
What are the bottom 3 entities in terms of y-coordinates?,"['digital PR cat', 'Ismail Onur Filiz', 'Dave Golland']",063_Influencers
What are the top 5 entity IDs in terms of weight?,"[568, 423, 6392, 4548, 579]",063_Influencers
What are the bottom 4 entity IDs in terms of page rank norm?,"[177, 240, 294, 369]",063_Influencers
What are the top 6 page rank norms of the entities?,"[1.0, 0.6029751067034804, 0.5666707687637932, 0.5202348027491394, 0.5110606617858531, 0.5081183103684572]",063_Influencers
What are the bottom 3 weights of the entities?,"[1.0, 1.0, 1.0]",063_Influencers
Are there any animals with feathers in the dataset?,True,064_Clustering
Are there any venomous animals in the dataset?,True,064_Clustering
Do all animals breathe?,False,064_Clustering
Are there any domesticated animals in the dataset?,True,064_Clustering
How many unique types of animals are there?,7,064_Clustering
What is the average number of legs?,2.8415841584158414,064_Clustering
What is the maximum number of legs an animal has?,8,064_Clustering
How many animals are there with 2 legs?,27,064_Clustering
What is the most common class type?,1,064_Clustering
What is the name of the first animal with 8 legs?,octopus,064_Clustering
What is the class type of the animals with the most legs?,7,064_Clustering
What is the name of the first animal in the dataset that is venomous?,frog,064_Clustering
What are the top 3 animal names with the most legs? If there are more than two with the lowest number go with alphabetical order,"['octopus', 'scorpion', 'crayfish']",064_Clustering
What are the bottom 2 animal names in terms of the number of legs? If there are more than two with the lowest number go with alphabetical order,"['bass', 'carp']",064_Clustering
What are the most common 4 class types with the most animals?,"[1, 2, 4, 7]",064_Clustering
What are the least common 3 class types with the least animals?,"[5, 3, 6]",064_Clustering
What are the most common 5 class types with the most combined total legs?,"[1, 6, 2, 7, 5]",064_Clustering
What are the bottom 4 class types with the least combined total legs?,"[4, 3, 5, 7]",064_Clustering
What are the most common 4 numbers of legs that animals have?,"[4, 2, 0, 6]",064_Clustering
What are the least common 3 numbers of legs that animals have?,"[5, 8, 6]",064_Clustering
Are all the quantities greater than 0?,False,065_RFM
Are all the unit prices greater than 0?,False,065_RFM
Are there any missing customer IDs?,True,065_RFM
Are there any transactions from the United Kingdom?,True,065_RFM
How many unique stock codes are there?,4070,065_RFM
What is the average unit price?,4.611113626088513,065_RFM
What is the maximum quantity ordered in a single transaction?,80995,065_RFM
How many transactions were made in the United Kingdom?,495478,065_RFM
Which country made the most transactions?,United Kingdom,065_RFM
What is the description of the item with the highest unit price?,Manual,065_RFM
What is the description of the item with the highest quantity ordered?,"PAPER CRAFT , LITTLE BIRDIE",065_RFM
Which country does the customer with the lowest ID come from?,United Kingdom,065_RFM
What are the descriptions of the 3 items with the highest quantities ordered?,"['PAPER CRAFT , LITTLE BIRDIE', 'MEDIUM CERAMIC TOP STORAGE JAR', 'ASSTD DESIGN 3D PAPER STICKERS']",065_RFM
What are the descriptions of the 2 items with the lowest quantities ordered? If there is a tie then solve it with the alphabetical order of descriptions.,"['PAPER CRAFT , LITTLE BIRDIE', 'MEDIUM CERAMIC TOP STORAGE JAR']",065_RFM
Which 2 countries made the most transactions?,"['United Kingdom', 'Germany']",065_RFM
Which 2 countries made the least transactions?,"['Saudi Arabia', 'Bahrain']",065_RFM
What are the invoice numbers of the top 5 transactions with the highest quantities ordered?,"['581483', '541431', '578841', '542504', '573008']",065_RFM
What are the stock codes of the bottom 5 transactions with the lowest quantities ordered? If there is a tie go with numerical order.,"[23843, 23166, 23005, 23005, 84347]",065_RFM
What are the four most commonly ordered quantities?,"[1, 2, 12, 6]",065_RFM
What are the times the two most common descriptions are repeated?,"[2369, 2200]",065_RFM
